variable,mean,std,min,max,length,filename
Roll Angle Right [°],-31.513099137931036,12.54438671739955,-49.137,3.903,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Yaw Angle Left [°],7.803663793103448,3.735006442373404,-1.918,12.681,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Yaw Angle Right [°],-19.692504310344827,4.844411024380726,-30.762,0.0,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Speed hor. [km/h],98.46596995708154,6.9760920603471375,0.0,104.967,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Speed vert. [km/h],-60.98035622317597,18.10722102926704,-77.013,0.0,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Speed resulting [km/h],116.80754506437769,12.344217017141244,0.0,127.721,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W1_Speed,1.2785407725321887,0.07229918271885523,1.1,1.4,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W1_Tangent,0.9910300429184549,0.054176944680481426,0.87,1.07,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W1_Turbulence,0.068068669527897,0.03922915113347788,0.01,0.22,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W1_CleanTan,0.9910300429184549,0.054176944680481426,0.87,1.07,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W1_Cross,0.5701287553648069,0.11417047404518747,0.38,0.74,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W2_Speed,2.740343347639485,0.18824017733439086,1.8,3.0,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W2_Tangent,2.0860944206008583,0.30244368186737636,1.52,2.52,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W2_Turbulence,0.18746781115879826,0.1445713940170501,0.01,0.44,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W2_CleanTan,2.0860944206008583,0.30244368186737636,1.52,2.52,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W2_Cross,1.0613304721030041,0.396224028593282,0.06,1.76,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W3_Speed,1.172532188841202,0.19458406135536996,0.9,1.6,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W3_Tangent,0.7112017167381973,0.20738170204207435,0.49,1.22,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
